datetime_official_portugal,time zone,datetime,height_zh,height,tide
2017-03-22 22:47,WET,2017-03-22 22:47,2.6,0.5,high
2017-03-23 05:09,WET,2017-03-23 05:09,1.3,-0.8,low
2017-03-23 11:23,WET,2017-03-23 11:23,2.6,0.5,high
2017-03-23 17:25,WET,2017-03-23 17:25,1.3,-0.8,low
2017-03-23 23:44,WET,2017-03-23 23:44,2.8,0.7,high
2017-03-24 05:57,WET,2017-03-24 05:57,1.1,-1.0,low
2017-03-24 12:12,WET,2017-03-24 12:12,2.8,0.7,high
2017-03-24 18:10,WET,2017-03-24 18:10,1.1,-1.0,low
2017-03-25 00:31,WET,2017-03-25 00:31,3.0,0.9,high
2017-03-25 06:37,WET,2017-03-25 06:37,0.9,-1.2,low
2017-03-25 12:55,WET,2017-03-25 12:55,3.0,0.9,high
2017-03-25 18:50,WET,2017-03-25 18:50,0.9,-1.2,low
2017-03-26 02:13,WEST,2017-03-26 01:13,3.2,1.1,high
2017-03-26 08:15,WEST,2017-03-26 07:15,0.7,-1.4,low
2017-03-26 14:35,WEST,2017-03-26 13:35,3.2,1.1,high
2017-03-26 20:29,WEST,2017-03-26 19:29,0.6,-1.5,low
2017-03-27 02:54,WEST,2017-03-27 01:54,3.4,1.3,high
2017-03-27 08:53,WEST,2017-03-27 07:53,0.5,-1.6,low
2017-03-27 15:16,WEST,2017-03-27 14:16,3.4,1.3,high
2017-03-27 21:07,WEST,2017-03-27 20:07,0.4,-1.7,low
2017-03-28 03:35,WEST,2017-03-28 02:35,3.6,1.5,high
2017-03-28 09:30,WEST,2017-03-28 08:30,0.3,-1.8,low
2017-03-28 15:56,WEST,2017-03-28 14:56,3.5,1.4,high
2017-03-28 21:46,WEST,2017-03-28 20:46,0.3,-1.8,low
2017-03-29 04:16,WEST,2017-03-29 03:16,3.7,1.6,high
2017-03-29 10:09,WEST,2017-03-29 09:09,0.3,-1.8,low
2017-03-29 16:37,WEST,2017-03-29 15:37,3.6,1.5,high
2017-03-29 22:26,WEST,2017-03-29 21:26,0.3,-1.8,low
2017-03-30 04:58,WEST,2017-03-30 03:58,3.6,1.5,high
2017-03-30 10:48,WEST,2017-03-30 09:48,0.3,-1.8,low
2017-03-30 17:18,WEST,2017-03-30 16:18,3.5,1.4,high
2017-03-30 23:07,WEST,2017-03-30 22:07,0.3,-1.8,low
2017-03-31 05:41,WEST,2017-03-31 04:41,3.5,1.4,high
2017-03-31 11:29,WEST,2017-03-31 10:29,0.4,-1.7,low
2017-03-31 18:02,WEST,2017-03-31 17:02,3.4,1.3,high
2017-03-31 23:51,WEST,2017-03-31 22:51,0.5,-1.6,low
2017-04-01 06:27,WEST,2017-04-01 05:27,3.4,1.3,high
