"","point","waypoint","transect","habitat","site","latitude","longitude","elevation","distance"
"1","Zn1_0","WAY_001","vegetated","Zn","S1",21781.889,-298079.316,0.304,0
"2","Zn1_5","WAY_004","vegetated","Zn","S1",21785.773,-298075.974,0.334,5.13136484800256
"3","Zn1_10","WAY_007","vegetated","Zn","S1",21789.164,-298072.574,0.296,9.93900131649827
"4","Zn1_15","WAY_010","vegetated","Zn","S1",21792.974,-298069.287,0.316,14.9729349861378
"5","Zn1_20","WAY_013","vegetated","Zn","S1",21796.672,-298065.859,0.391,20.0157413534103
"6","Sm1_5","WAY_017","vegetated","Sm","S1",21800.423,-298062.551,0.626,25.0174761840559
"7","Sm1_10","WAY_020","vegetated","Sm","S1",21804.08,-298059.124,0.868,30.0318658945296
"8","Bs1_0","WAY_021","unvegetated","Bs","S1",21862.151,-298179.039,-0.704,0
"9","Bs1_5","WAY_024","unvegetated","Bs","S1",21865.183,-298175.081,-0.586,4.99233046466746
"10","Bs1_10","WAY_027","unvegetated","Bs","S1",21868.225,-298171.216,-0.404,9.91090716487808
"11","Bs1_15","WAY_030","unvegetated","Bs","S1",21871.384,-298167.336,-0.143,14.9143505670356
"12","Bs1_20","WAY_033","unvegetated","Bs","S1",21874.525,-298163.491,0.145,19.8800346056956
"13","Bs1_25","WAY_036","unvegetated","Bs","S1",21877.75,-298159.673,0.525,24.8783235691148
"14","Bs1_30","WAY_039","unvegetated","Bs","S1",21880.831,-298155.832,0.911,29.8044519745802
"15","Zn2_0","WAY_040","vegetated","Zn","S2",22959.91,-297414.697,-1.395,0
"16","Zn2_5","WAY_043","vegetated","Zn","S2",22956.976,-297418.672,-0.802,4.94195488832808
"17","Zn2_10","WAY_046","vegetated","Zn","S2",22953.883,-297422.785,-0.585,10.0905047870693
"18","Zn2_15","WAY_049","vegetated","Zn","S2",22950.905,-297426.603,-0.388,14.933070202745
"19","Zn2_20","WAY_052","vegetated","Zn","S2",22947.866,-297430.661,-0.138,20.0028885768994
"20","Zn2_25","WAY_055","vegetated","Zn","S2",22944.806,-297434.575,0.122,24.9711216614
"21","Zn2_27","WAY_057","vegetated","Zn","S2",22943.426,-297436.341,0.218,27.2129169608072
"22","Sm2_5","WAY_063","vegetated","Sm","S2",22940.079,-297440.028,0.47,32.4791827482811
"23","Sm2_10","WAY_066","vegetated","Sm","S2",22936.621,-297443.612,0.65,37.4598422414303
"24","Sm2_12","WAY_068","vegetated","Sm","S2",22935.304,-297445.096,0.409,39.4447049579956
"25","Bs2_0","WAY_069","unvegetated","Bs","S2",22850.084,-297338.704,-0.959,0
"26","Bs2_5","WAY_073","unvegetated","Bs","S2",22847.076,-297342.658,-0.767,4.9717910638296
"27","Bs2_10","WAY_076","unvegetated","Bs","S2",22844.121,-297346.555,-0.611,9.86302369911709
"28","Bs2_15","WAY_079","unvegetated","Bs","S2",22841.089,-297350.572,-0.315,14.8966243527418
"29","Bs2_20","WAY_082","unvegetated","Bs","S2",22838.129,-297354.526,-0.11,19.8360378802852
